RUN 1: Threads over-writes values of each other 

2020-02-19 13:37:37.721 DEBUG 122109 --- [             t1] poc.ignite.service.TransactionService    : t1 starts
2020-02-19 13:37:37.721 DEBUG 122109 --- [             t2] poc.ignite.service.TransactionService    : t2 starts
2020-02-19 13:37:37.721 DEBUG 122109 --- [             t3] poc.ignite.service.TransactionService    : t3 starts

2020-02-19 13:37:37.733  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=0, t1=s10, t2=s20)
2020-02-19 13:37:42.740  INFO 122109 --- [             t1] poc.ignite.service.TransactionService    : v: Person(id=4, t1=s14, t2=s24)
2020-02-19 13:37:42.741  INFO 122109 --- [             t1] poc.ignite.service.TransactionService    : v: Person(id=5, t1=s15, t2=s25)
2020-02-19 13:37:42.742  INFO 122109 --- [             t1] poc.ignite.service.TransactionService    : v: Person(id=6, t1=s16, t2=s26)
2020-02-19 13:37:42.744  INFO 122109 --- [             t1] poc.ignite.service.TransactionService    : v: Person(id=7, t1=s17, t2=s27)
2020-02-19 13:37:42.745  INFO 122109 --- [             t1] poc.ignite.service.TransactionService    : v: Person(id=8, t1=s18, t2=s28)
2020-02-19 13:37:42.746  INFO 122109 --- [             t1] poc.ignite.service.TransactionService    : v: Person(id=9, t1=s19, t2=s29)

2020-02-19 13:37:45.742  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=0, t1=s10, t2=t1)
2020-02-19 13:37:45.742  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=1, t1=s11, t2=t1)
2020-02-19 13:37:45.742  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=2, t1=s12, t2=t1)
2020-02-19 13:37:45.742  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=3, t1=s13, t2=t1)
2020-02-19 13:37:45.742  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=4, t1=s14, t2=t1)
2020-02-19 13:37:45.743  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=5, t1=s15, t2=t1)
2020-02-19 13:37:45.743  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=6, t1=s16, t2=t1)
2020-02-19 13:37:45.743  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=7, t1=s17, t2=t1)
2020-02-19 13:37:45.743  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=8, t1=s18, t2=t1)
2020-02-19 13:37:45.743  INFO 122109 --- [             t3] poc.ignite.service.TransactionService    : v: Person(id=9, t1=s19, t2=t1)
